"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/01/2024","AQS","060251003","1","10.3","ppb","9","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/02/2024","AQS","060251003","1","2.7","ppb","2","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/03/2024","AQS","060251003","1","2","ppb","2","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/04/2024","AQS","060251003","1","7.7","ppb","7","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/05/2024","AQS","060251003","1","15.8","ppb","14","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/06/2024","AQS","060251003","1","5.3","ppb","5","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/07/2024","AQS","060251003","1","5.4","ppb","5","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/08/2024","AQS","060251003","1","10.8","ppb","9","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/09/2024","AQS","060251003","1","25.7","ppb","24","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/10/2024","AQS","060251003","1","13.9","ppb","12","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/11/2024","AQS","060251003","1","4.8","ppb","4","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/12/2024","AQS","060251003","1","7.3","ppb","7","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/13/2024","AQS","060251003","1","13.3","ppb","12","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/14/2024","AQS","060251003","1","5.7","ppb","5","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/15/2024","AQS","060251003","1","4","ppb","4","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/16/2024","AQS","060251003","1","11.1","ppb","10","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/17/2024","AQS","060251003","1","15.9","ppb","14","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/18/2024","AQS","060251003","1","10.5","ppb","9","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/20/2024","AQS","060251003","1","24.5","ppb","23","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/21/2024","AQS","060251003","1","22.2","ppb","21","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/22/2024","AQS","060251003","1","23.9","ppb","22","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/23/2024","AQS","060251003","1","2.9","ppb","2","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/24/2024","AQS","060251003","1","1.4","ppb","1","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/25/2024","AQS","060251003","1","8.7","ppb","8","El Centro-9th Street","22","92.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/29/2024","AQS","060251003","1","2.2","ppb","2","El Centro-9th Street","19","79.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/30/2024","AQS","060251003","1","9.1","ppb","8","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"03/31/2024","AQS","060251003","1","9.9","ppb","8","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/01/2024","AQS","060251003","1","10.6","ppb","9","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/02/2024","AQS","060251003","1","14.6","ppb","13","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/03/2024","AQS","060251003","1","8.6","ppb","8","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/05/2024","AQS","060251003","1","5.7","ppb","5","El Centro-9th Street","18","75.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/06/2024","AQS","060251003","1","20.5","ppb","19","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/07/2024","AQS","060251003","1","11.1","ppb","10","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/08/2024","AQS","060251003","1","4.6","ppb","4","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/09/2024","AQS","060251003","1","14.2","ppb","13","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/10/2024","AQS","060251003","1","16.3","ppb","15","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/11/2024","AQS","060251003","1","21.6","ppb","20","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/12/2024","AQS","060251003","1","15.6","ppb","14","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/13/2024","AQS","060251003","1","12.4","ppb","11","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/15/2024","AQS","060251003","1","13.6","ppb","12","El Centro-9th Street","18","75.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/16/2024","AQS","060251003","1","24.6","ppb","23","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/17/2024","AQS","060251003","1","9.3","ppb","8","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/18/2024","AQS","060251003","1","27","ppb","25","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/19/2024","AQS","060251003","1","29.8","ppb","27","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/20/2024","AQS","060251003","1","18.6","ppb","17","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/21/2024","AQS","060251003","1","19.1","ppb","18","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/22/2024","AQS","060251003","1","19","ppb","18","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/23/2024","AQS","060251003","1","10.8","ppb","9","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/24/2024","AQS","060251003","1","6.5","ppb","6","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/25/2024","AQS","060251003","1","2.9","ppb","2","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/26/2024","AQS","060251003","1","3.4","ppb","3","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/27/2024","AQS","060251003","1","3.1","ppb","3","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/28/2024","AQS","060251003","1","13.9","ppb","12","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/29/2024","AQS","060251003","1","22.7","ppb","21","El Centro-9th Street","20","83.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"04/30/2024","AQS","060251003","1","17.8","ppb","16","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/01/2024","AQS","060251003","1","16.2","ppb","15","El Centro-9th Street","20","83.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/02/2024","AQS","060251003","1","11.2","ppb","10","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/03/2024","AQS","060251003","1","15.2","ppb","14","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/04/2024","AQS","060251003","1","13","ppb","12","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/05/2024","AQS","060251003","1","2.6","ppb","2","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/06/2024","AQS","060251003","1","16","ppb","15","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/07/2024","AQS","060251003","1","11.8","ppb","10","El Centro-9th Street","20","83.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/08/2024","AQS","060251003","1","14.1","ppb","13","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/09/2024","AQS","060251003","1","22","ppb","21","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/10/2024","AQS","060251003","1","9.6","ppb","8","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/11/2024","AQS","060251003","1","9.7","ppb","8","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/12/2024","AQS","060251003","1","3.4","ppb","3","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/13/2024","AQS","060251003","1","4.7","ppb","4","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/14/2024","AQS","060251003","1","10.6","ppb","9","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/15/2024","AQS","060251003","1","9.6","ppb","8","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/16/2024","AQS","060251003","1","11.9","ppb","10","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/17/2024","AQS","060251003","1","8.3","ppb","8","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/18/2024","AQS","060251003","1","2.4","ppb","2","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/19/2024","AQS","060251003","1","2.4","ppb","2","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"05/20/2024","AQS","060251003","1","4.9","ppb","4","El Centro-9th Street","21","88.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
